Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1560805200.0 513.0 13 37 0 60 93 0 731 221 133 3424 958 333
1560805200.0 514.0 12 34 0 60 94 0 423 224 134 2047 376 469
1560805200.0 516.0 12 38 0 59 93 0 727 232 134 3247 892 310
1560805200.0 519.0 15 34 0 60 93 0 686 228 141 2913 810 451
1560805200.0 521.0 15 33 0 60 93 0 677 223 136 2913 888 406
1560805200.0 525.0 17 39 0 60 94 0 691 228 133 2858 951 333
1560805200.0 528.0 14 36 0 59 94 0 729 206 150 2600 359 875
1560805200.0 554.0 13 32 0 59 94 0 1802 242 133 3280 863 480
1560805200.0 556.0 14 36 0 59 93 0 397 239 141 937 504 799
1560805200.0 562.0 14 39 0 59 91 0 375 201 131 998 300 225
