Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1560805200.0 110.0 65 110 279 135 418 594 604 453 1961 1761 1134 3589
1560805200.0 1325.5 NA 170 0 NA 278 0 NA 4703 145 NA 5276 269
1560805200.0 1329.1 NA 187 0 NA 306 0 NA 5493 138 NA 6891 346
1560805200.0 136.7722 NA 169 0 NA 286 0 NA 5327 124 NA 5709 199
1560805200.0 511.0 41 0 NA 111 0 NA 8890 125 NA 10604 292 NA
1560805200.0 512.0 15 40 0 61 91 0 2029 199 129 4934 404 342
1560805200.0 518.0 16 41 0 61 90 0 1816 177 136 4686 330 351
1560805200.0 522.0 16 35 0 61 89 0 2601 196 129 14078 279 209
1560805200.0 523.0 16 53 0 61 103 0 1009 217 118 3112 464 217
1560805200.0 529.0 16 39 0 61 91 0 2633 189 150 14080 244 223
1560805200.0 554.0 16 34 0 61 95 0 1531 197 128 2191 469 320
